Name,Ratings,Title,Content
Manish  Deshlahare,5,Terrific,Very very goodREAD MORE
Abhishek Sachdeva,5,Worth every penny,Feeling awesome after getting the delivery of my phone. Dual speakers makes the sound quality very loud. Amazing!!READ MORE
Steevan Rattra ,5,Best in the market!,Good CameraREAD MORE
Vishnu Ramakrishnan,5,Classy product,Camera is awesomeBest battery backupA performer 👌🏻It will be a real value for money if they provide charger and earphone inbox!READ MORE
Flipkart Customer,5,Wonderful,This is amazing at allREAD MORE
siva sankar,5,Perfect product!,Photos superREAD MORE
Parker Chetan,5,Awesome,"iPhone 11 is a good phone. Not a very big difference between 12 except for the OLED screen and a very minor camera improvement which is you cant make a difference. If you are planning for a iPhone and you have budget you definitely can go for this without second thoughts. Now some people are complaining and giving review 0 or so because there is no charger and headphones, but thats been already mentioned so I assume they are illiterate. Its not that Flipkart is removing them duh. Anyways bee...READ MORE"
Dev,5,Terrific purchase,Value for money 😍READ MORE
Vikram rapolu,5,Just wow!,Perfect Product!!READ MORE
vikash  Yadav,5,Must buy!,It’s really awesomeREAD MORE
